x,y,z,v_x,v_y,v_z,|U|,acc,rho,pressure
-0.0191803, -0.0181064, 0.0672185, -0.00346089, -0.00351481, -0.185795, 0.18586, 9.83611, 1538.29, 0
-0.0191769, -0.0181034, 0.0682208, -0.00334935, -0.00339727, -0.185611, 0.185673, 9.83437, 1539, 0
-0.0191736, -0.0180998, 0.069223, -0.00323941, -0.00328062, -0.185426, 0.185484, 9.83306, 1539.69, 0
-0.0191705, -0.0180972, 0.0702249, -0.00312975, -0.0031648, -0.18524, 0.185293, 9.83265, 1540.38, 0
-0.0191669, -0.018094, 0.0712269, -0.00301935, -0.00304943, -0.185052, 0.185101, 9.83259, 1541.05, 0
-0.0191633, -0.0180907, 0.072229, -0.00290652, -0.00293376, -0.184863, 0.184909, 9.83253, 1541.71, 0
-0.0191598, -0.0180876, 0.0732314, -0.0027904, -0.0028168, -0.184673, 0.184715, 9.83353, 1542.35, 0
-0.0191558, -0.0180844, 0.0742343, -0.00267013, -0.0026976, -0.184484, 0.184523, 9.83583, 1542.99, 0
-0.0191523, -0.0180815, 0.0752378, -0.00254551, -0.00257515, -0.184298, 0.184334, 9.83803, 1543.6, 0
-0.0191484, -0.0180775, 0.0762423, -0.00241666, -0.00244901, -0.184117, 0.184149, 9.84225, 1544.21, 0
-0.0191447, -0.0180768, 0.077248, -0.00228466, -0.00231889, -0.183943, 0.183972, 9.84624, 1544.79, 0
-0.0191414, -0.0180741, 0.0782545, -0.00215097, -0.00218607, -0.18378, 0.183806, 9.85112, 1545.34, 0
-0.0191395, -0.0180705, 0.0792617, -0.00201744, -0.00205282, -0.183631, 0.183654, 9.8551, 1545.87, 0
-0.0191373, -0.0180685, 0.0802688, -0.00188717, -0.00192183, -0.183498, 0.183517, 9.85958, 1546.37, 0
-0.0191347, -0.0180669, 0.0812747, -0.00176286, -0.00179652, -0.183382, 0.183399, 9.86291, 1546.82, 0
-0.0191335, -0.0180654, 0.0822789, -0.00164663, -0.0016799, -0.183285, 0.1833, 9.8653, 1547.23, 0
-0.0191321, -0.0180639, 0.0832814, -0.00154001, -0.0015737, -0.183207, 0.18322, 9.86646, 1547.59, 0
-0.0191316, -0.0180627, 0.0842831, -0.0014433, -0.00147811, -0.183146, 0.183158, 9.86743, 1547.89, 0
-0.019131, -0.018063, 0.0852861, -0.00135492, -0.00139161, -0.183102, 0.183112, 9.86625, 1548.13, 0
-0.019131, -0.0180634, 0.0862986, -0.00127129, -0.00131082, -0.183072, 0.183081, 9.86498, 1548.31, 0
-0.0191099, -0.0180584, 0.0873428, -0.00118635, -0.0012302, -0.183059, 0.183067, 9.86416, 1548.42, 0
-0.0193983, -0.0173014, 0.00868714, -0.0147367, -0.0146848, -0.20818, 0.209216, 9.6515, 1496.37, 0
-0.0194301, -0.0173017, 0.00974364, -0.0145672, -0.0145207, -0.208155, 0.209169, 9.65283, 1496.17, 0
-0.0194459, -0.0173096, 0.0107704, -0.0143941, -0.0143691, -0.20809, 0.209082, 9.65423, 1495.9, 0
-0.0194533, -0.0173181, 0.0117854, -0.0142479, -0.0142516, -0.207979, 0.208953, 9.6566, 1495.58, 0
-0.019462, -0.0173282, 0.012799, -0.0141476, -0.0141848, -0.207808, 0.208772, 9.66234, 1495.22, 0
-0.0194716, -0.0173401, 0.0138135, -0.0141029, -0.0141752, -0.207567, 0.208527, 9.67272, 1494.83, 0
-0.0194811, -0.0173498, 0.0148295, -0.0141103, -0.0142194, -0.207244, 0.20821, 9.68626, 1494.43, 0
-0.01949, -0.0173598, 0.0158466, -0.0141654, -0.0143091, -0.206835, 0.207813, 9.70622, 1494.05, 0
-0.0194973, -0.0173688, 0.0168648, -0.0142526, -0.0144301, -0.206335, 0.20733, 9.73085, 1493.7, 0
-0.0195029, -0.0173765, 0.0178836, -0.0143593, -0.0145659, -0.205748, 0.206762, 9.75869, 1493.41, 0
-0.0195072, -0.0173809, 0.0189028, -0.0144663, -0.0147006, -0.205078, 0.206113, 9.79055, 1493.19, 0
-0.0195092, -0.0173827, 0.019922, -0.0145622, -0.0148191, -0.204335, 0.205389, 9.82327, 1493.06, 0
-0.0195088, -0.0173834, 0.0209411, -0.0146341, -0.0149088, -0.20353, 0.2046, 9.85666, 1493.04, 0
-0.0195072, -0.0173828, 0.0219598, -0.0146728, -0.0149603, -0.202679, 0.203759, 9.88897, 1493.13, 0
-0.0195044, -0.0173801, 0.022978, -0.0146701, -0.0149676, -0.201794, 0.20288, 9.91947, 1493.35, 0
-0.0195005, -0.0173772, 0.0239954, -0.0146255, -0.0149278, -0.200892, 0.201976, 9.94717, 1493.69, 0
-0.0194949, -0.0173726, 0.0250122, -0.0145356, -0.0148396, -0.199986, 0.201061, 9.97224, 1494.16, 0
-0.0194896, -0.0173677, 0.0260282, -0.014402, -0.0147047, -0.199087, 0.200149, 9.99327, 1494.76, 0
-0.0194825, -0.0173615, 0.0270434, -0.0142264, -0.0145254, -0.19821, 0.19925, 10.0106, 1495.48, 0
-0.0194754, -0.0173551, 0.0280579, -0.014013, -0.0143054, -0.197361, 0.198374, 10.0248, 1496.31, 0
-0.0194674, -0.017348, 0.0290715, -0.0137639, -0.0140488, -0.19655, 0.197532, 10.035, 1497.25, 0
-0.0194586, -0.0173403, 0.0300843, -0.0134845, -0.01376, -0.195782, 0.196728, 10.0415, 1498.28, 0
-0.0194498, -0.0173322, 0.0310962, -0.0131781, -0.0134432, -0.195061, 0.195968, 10.0455, 1499.39, 0
-0.0194406, -0.0173233, 0.0321074, -0.0128485, -0.0131027, -0.194392, 0.195256, 10.0455, 1500.58, 0
-0.019431, -0.0173145, 0.0331177, -0.0125009, -0.0127427, -0.193774, 0.194595, 10.0436, 1501.82, 0
-0.0194211, -0.017305, 0.034127, -0.0121379, -0.0123668, -0.19321, 0.193985, 10.0384, 1503.11, 0
-0.0194111, -0.0172953, 0.0351355, -0.0117643, -0.0119794, -0.192696, 0.193426, 10.0311, 1504.44, 0
-0.0194013, -0.0172857, 0.036143, -0.011383, -0.011584, -0.192233, 0.192918, 10.0217, 1505.79, 0
-0.019391, -0.0172759, 0.0371496, -0.0109983, -0.0111844, -0.191816, 0.192456, 10.0107, 1507.15, 0
-0.0193807, -0.0172657, 0.0381552, -0.0106125, -0.010784, -0.191442, 0.192039, 9.99797, 1508.52, 0
-0.0193706, -0.0172558, 0.03916, -0.0102292, -0.0103857, -0.191108, 0.191663, 9.98369, 1509.88, 0
-0.0193608, -0.0172463, 0.0401641, -0.00984976, -0.00999157, -0.190806, 0.191321, 9.96983, 1511.23, 0
-0.0193514, -0.0172374, 0.0411675, -0.00947657, -0.00960331, -0.190534, 0.191011, 9.95514, 1512.57, 0
-0.0193422, -0.0172285, 0.0421703, -0.00910981, -0.00922186, -0.190286, 0.190727, 9.94104, 1513.88, 0
-0.019333, -0.0172199, 0.0431727, -0.0087505, -0.00884784, -0.190059, 0.190466, 9.92702, 1515.17, 0
-0.0193247, -0.0172111, 0.0441748, -0.00839792, -0.00848162, -0.189847, 0.190222, 9.91451, 1516.43, 0
-0.0193163, -0.0172025, 0.045177, -0.00805198, -0.0081235, -0.189648, 0.189993, 9.90258, 1517.66, 0
-0.0193079, -0.0171936, 0.0461797, -0.0077124, -0.00777392, -0.189459, 0.189776, 9.89237, 1518.87, 0
-0.0192996, -0.0171865, 0.0471825, -0.00737907, -0.00743351, -0.189278, 0.189568, 9.88263, 1520.04, 0
-0.0192911, -0.0171787, 0.0481853, -0.00705234, -0.00710349, -0.189104, 0.189368, 9.87522, 1521.18, 0
-0.0192824, -0.0171718, 0.0491878, -0.00673365, -0.00678478, -0.188935, 0.189177, 9.86798, 1522.29, 0
-0.0192739, -0.0171638, 0.0501901, -0.00642458, -0.00647881, -0.188772, 0.188992, 9.86203, 1523.37, 0
-0.0192657, -0.017156, 0.0511921, -0.00612782, -0.00618715, -0.188613, 0.188814, 9.85658, 1524.42, 0
-0.0192579, -0.017149, 0.052194, -0.00584623, -0.00591127, -0.188458, 0.188641, 9.85195, 1525.45, 0
-0.0192508, -0.0171425, 0.0531957, -0.00558245, -0.0056528, -0.188305, 0.188473, 9.84794, 1526.44, 0
-0.0192441, -0.0171363, 0.0541975, -0.00533857, -0.00541306, -0.188154, 0.188308, 9.84343, 1527.41, 0
-0.0192378, -0.0171305, 0.0551993, -0.00511573, -0.00519279, -0.188003, 0.188144, 9.84053, 1528.35, 0
-0.0192324, -0.0171251, 0.0562011, -0.00491391, -0.00499213, -0.187849, 0.18798, 9.83772, 1529.27, 0
-0.019228, -0.0171215, 0.0572027, -0.00473161, -0.00481025, -0.187693, 0.187814, 9.836, 1530.16, 0
-0.0192234, -0.017118, 0.0582045, -0.00456668, -0.00464549, -0.187532, 0.187646, 9.83432, 1531.04, 0
-0.01922, -0.0171149, 0.0592066, -0.00441535, -0.00449561, -0.187367, 0.187473, 9.83427, 1531.89, 0
-0.0192171, -0.0171119, 0.0602088, -0.00427479, -0.00435749, -0.187197, 0.187297, 9.8344, 1532.72, 0
-0.0192137, -0.0171079, 0.0612115, -0.00414169, -0.00422814, -0.187023, 0.187117, 9.83452, 1533.54, 0
-0.0192104, -0.0171056, 0.0622144, -0.00401364, -0.0041045, -0.186845, 0.186933, 9.83626, 1534.33, 0
-0.0192065, -0.0171018, 0.0632172, -0.00388925, -0.00398408, -0.186665, 0.186748, 9.83619, 1535.12, 0
-0.0192018, -0.0170988, 0.06422, -0.00376791, -0.00386505, -0.186484, 0.186562, 9.83652, 1535.89, 0
-0.0191978, -0.0170949, 0.0652229, -0.00364907, -0.00374645, -0.186301, 0.186374, 9.8362, 1536.64, 0
-0.0191941, -0.0170918, 0.0662256, -0.00353303, -0.00362805, -0.186117, 0.186186, 9.83614, 1537.38, 0
-0.0191903, -0.0170884, 0.0672282, -0.0034198, -0.00351011, -0.185933, 0.185998, 9.83432, 1538.11, 0
-0.0191861, -0.0170857, 0.0682304, -0.00330921, -0.00339301, -0.185748, 0.185808, 9.83326, 1538.83, 0
-0.0191824, -0.0170822, 0.0692324, -0.00320012, -0.00327701, -0.185561, 0.185618, 9.83244, 1539.53, 0
-0.0191785, -0.0170802, 0.0702344, -0.00309183, -0.00316198, -0.185374, 0.185427, 9.83116, 1540.23, 0
-0.0191748, -0.0170775, 0.0712363, -0.00298278, -0.0030474, -0.185185, 0.185234, 9.83084, 1540.9, 0
-0.019171, -0.0170744, 0.0722384, -0.00287162, -0.0029326, -0.184995, 0.185041, 9.83091, 1541.57, 0
-0.0191671, -0.0170717, 0.0732407, -0.00275726, -0.00281648, -0.184805, 0.184847, 9.83154, 1542.22, 0
-0.0191631, -0.0170692, 0.0742436, -0.00263898, -0.00269806, -0.184617, 0.184655, 9.83296, 1542.86, 0
